id	parent_goal_id	creator_id	goal_picture_url	title	description	created_date	level_id	privacy	order	status
1	NULL	1	goal_default.png	Achieving Intellectual Growth	Being intelligent or smart; having intellectual experiences and conversations; getting an education; obtaining an advanced educational degree	8/5/2015 0:00	6	0	1	0
2	NULL	1	goal_default.png	Achieving Mastery & Perseverance	"Accomplishing difficult things, overcoming challenges; overcoming failure; mastering what I set out to do; being ambitious, hard-working; being highly competent"	8/6/2015 0:00	6	0	1	0
3	NULL	1	goal_default.png	Achieving Religion & Spirituality	Achieving salvation; maintaining religious faith; pleasing God; practicing religious traditions; growing spiritually; avoiding impure acts	8/7/2015 0:00	6	0	1	0
4	NULL	1	goal_default.png	Achieving Self-Knowledge	"Achieving personal growth; knowing myself (to be true to myself, not follow the crowd); to get in tune with my emotions; to accept myself, other people, or things as they are"	8/8/2015 0:00	6	0	1	0
5	NULL	1	goal_default.png	Achieving Wisdom & Serenity	"Achieving harmony and oneness (with self and the universe); finding higher meaning in life; having wisdom, a mature understanding of life"	8/9/2015 0:00	6	0	1	0
6	NULL	1	goal_default.png	Acquire a company		8/10/2015 0:00	6	0	1	0
7	NULL	1	goal_default.png	Adopt a child.		8/11/2015 0:00	6	0	1	0
8	NULL	1	goal_default.png	Appreciating Beauty	"Appreciating fine design; learning and appreciating the arts; being creative (e.g., artistically, scientifically, intellectually); experiencing natural beauty"	8/12/2015 0:00	6	0	1	0
9	NULL	1	goal_default.png	Attend a book signing		8/13/2015 0:00	6	0	1	0
10	NULL	1	goal_default.png	Attend a leadership conference		8/14/2015 0:00	6	0	1	0
11	NULL	1	goal_default.png	Attend a rave party		8/15/2015 0:00	6	0	1	0
12	NULL	1	goal_default.png	Attend a tech conference.		8/16/2015 0:00	6	0	1	0
13	NULL	1	goal_default.png	Attend an electronic rave festival.		8/17/2015 0:00	6	0	1	0
14	NULL	1	goal_default.png	Avoiding Conflict	"To avoid conflict with others; to avoid hurting (annoying, upsetting, etc.) others"	8/18/2015 0:00	6	0	1	0
15	NULL	1	goal_default.png	Avoiding Failure	Avoiding failure; to strive for perfection	8/19/2015 0:00	6	0	1	0
16	NULL	1	goal_default.png	Avoiding Harm	Avoiding feelings of guilt; avoiding regrets; avoiding physical harm	8/20/2015 0:00	6	0	1	0
17	NULL	1	goal_default.png	Avoiding Rejections	Avoiding criticisms from others; avoiding rejection by others	8/21/2015 0:00	6	0	1	0
18	NULL	1	goal_default.png	Avoiding Stress & Anxiety	Avoiding anxiety; avoiding stress	8/22/2015 0:00	6	0	1	0
19	NULL	1	goal_default.png	Be a vegetarian for a month.		8/23/2015 0:00	6	0	1	0
20	NULL	1	goal_default.png	Be in a movie		8/24/2015 0:00	6	0	1	0
21	NULL	1	goal_default.png	Become a brand consultant		8/25/2015 0:00	6	0	1	0
22	NULL	1	goal_default.png	Become a cyclist.		8/26/2015 0:00	6	0	1	0
23	NULL	1	goal_default.png	Become a graphic designer		8/27/2015 0:00	6	0	1	0
24	NULL	1	goal_default.png	Become a keynote speaker.		8/28/2015 0:00	6	0	1	0
25	NULL	1	goal_default.png	Become a morning jogger.		8/29/2015 0:00	6	0	1	0
26	NULL	1	goal_default.png	Become a photographer		8/30/2015 0:00	6	0	1	0
27	NULL	1	goal_default.png	Become a winemaker.		8/31/2015 0:00	6	0	1	0
28	NULL	1	goal_default.png	Become a writer.		9/1/2015 0:00	6	0	1	0
29	NULL	1	goal_default.png	Become an angel investor.		9/2/2015 0:00	6	0	1	0
30	NULL	1	goal_default.png	Being a Good Family Member	"Being a good parent (teaching, transmitting values); being emotionally close to my children; having a stable, secure family life (with my spouse or children, or both); having a good marriage"	9/3/2015 0:00	6	0	1	0
31	NULL	1	goal_default.png	Being a Leader	"Being a leader, being in charge; influencing, persuading others; to enforce accountability"	9/4/2015 0:00	6	0	1	0
32	NULL	1	goal_default.png	Being Close to Parents & Family	"Living close to my parents, siblings, grandparents; receiving help from my parents, siblings, grandparents; obeying my parents; respecting my elders"	9/5/2015 0:00	6	0	1	0
33	NULL	1	goal_default.png	Being Giving	"Being charitable, helping the needy, helping others; to be selfless; to put others first"	9/6/2015 0:00	6	0	1	0
34	NULL	1	goal_default.png	Being Happy	Being happy and content; feeling satisfied with one's life; feeling good about myself	9/7/2015 0:00	6	0	1	0
35	NULL	1	goal_default.png	Being Healthy	"Being physically active; being physically fit; being physically healthy, e.g., maintaining a healthy weight, eating nutritious foods; to be physically able to do my daily/routine activities; having athletic ability"	9/8/2015 0:00	6	0	1	0
36	NULL	1	goal_default.png	Being Inspiring	Inspiring others; teaching others; setting good examples for others	9/9/2015 0:00	6	0	1	0
37	NULL	1	goal_default.png	Being Interpersonally Effective	Be less shy or more assertive; sharing my feelings with others; to communicate or express myself	9/10/2015 0:00	6	0	1	0
38	NULL	1	goal_default.png	Being Liked/ Popular	"Entertaining, amusing others; being popular, being in the center of things"	9/11/2015 0:00	6	0	1	0
39	NULL	1	goal_default.png	Being Respected	Being respected by others; having other people trust you	9/12/2015 0:00	6	0	1	0
40	NULL	1	goal_default.png	Being Self-Regulated	"Being disciplined, following my intentions with behavior; to be self controlled; being responsible, dependable"	9/13/2015 0:00	6	0	1	0
41	NULL	1	goal_default.png	Being Smart & Rational	"Being logical, rational; being practical, having common sense; to carefully think through decisions; to be alert or attentive"	9/14/2015 0:00	6	0	1	0
42	NULL	1	goal_default.png	Build a creative team		9/15/2015 0:00	6	0	1	0
43	NULL	1	goal_default.png	Buy a car for single mother with kids.		9/16/2015 0:00	6	0	1	0
44	NULL	1	goal_default.png	"Buy an Island, or own piece of one with friends"		9/17/2015 0:00	6	0	1	0
45	NULL	1	goal_default.png	Caring for Others	To have empathy for what others are feeling; to listen to others; to make others happy or to please others	9/18/2015 0:00	6	0	1	0
