id	parent_skill_id	creator_id	skill_picture_url	title	description	created_date	level_id	bank_id	privacy	order	status
1	\N	1	skill_default.png	1000 subscribers to my blogs	\N	1/21/2015 0:00	2	\N	0	1	0
2	\N	1	skill_default.png	3d printing	\N	1/21/2015 0:00	3	\N	0	1	0
3	\N	1	skill_default.png	a vintage scrapbook	\N	1/21/2015 0:00	4	\N	0	1	0
4	\N	1	skill_default.png	ability to delegate	\N	1/21/2015 0:00	5	\N	0	1	0
5	\N	1	skill_default.png	ability to learn 	\N	1/21/2015 0:00	6	\N	0	1	0
6	\N	1	skill_default.png	ability to work under pressure 	\N	1/21/2015 0:00	7	\N	0	1	0
7	\N	1	skill_default.png	aboriginal and torres strait islander health worker	\N	1/21/2015 0:00	8	\N	0	1	0
8	\N	1	skill_default.png	accept responsibility	\N	1/21/2015 0:00	9	\N	0	1	0
9	\N	1	skill_default.png	accommodation and hospitality managers	\N	1/21/2015 0:00	10	\N	0	1	0
10	\N	1	skill_default.png	accountant (general)	\N	1/21/2015 0:00	11	\N	0	1	0
11	\N	1	skill_default.png	accounting	\N	1/21/2015 0:00	12	\N	0	1	0
12	\N	1	skill_default.png	accounts payable	\N	1/21/2015 0:00	13	\N	0	1	0
13	\N	1	skill_default.png	accounts receivable	\N	1/21/2015 0:00	14	\N	0	1	0
14	\N	1	skill_default.png	accuracy	\N	1/21/2015 0:00	15	\N	0	1	0
15	\N	1	skill_default.png	"accurate: careful, precise, free from error."	\N	1/21/2015 0:00	16	\N	0	1	0
16	\N	1	skill_default.png	active	\N	1/21/2015 0:00	17	\N	0	1	0
17	\N	1	skill_default.png	actor	\N	1/21/2015 0:00	18	\N	0	1	0
18	\N	1	skill_default.png	"actors, dancers and other entertainers"	\N	1/21/2015 0:00	19	\N	0	1	0
19	\N	1	skill_default.png	actuary	\N	1/21/2015 0:00	20	\N	0	1	0
20	\N	1	skill_default.png	acupuncturist	\N	1/21/2015 0:00	21	\N	0	1	0
21	\N	1	skill_default.png	adapt to changing situations	\N	1/21/2015 0:00	22	\N	0	1	0
22	\N	1	skill_default.png	adaptability 	\N	1/21/2015 0:00	23	\N	0	1	0
23	\N	1	skill_default.png	adaptable	\N	1/21/2015 0:00	24	\N	0	1	0
24	\N	1	skill_default.png	adaptable: able to adapt oneself to new surroundings; to make suitable change so as to fit new conditions.	\N	1/21/2015 0:00	25	\N	0	1	0
25	\N	1	skill_default.png	add windshield washer fluid	\N	1/21/2015 0:00	26	\N	0	1	0
26	\N	1	skill_default.png	administering medication 	\N	1/21/2015 0:00	27	\N	0	1	0
27	\N	1	skill_default.png	adobe illustrator	\N	1/21/2015 0:00	28	\N	0	1	0
28	\N	1	skill_default.png	adobe indesign	\N	1/21/2015 0:00	29	\N	0	1	0
29	\N	1	skill_default.png	adobe photoshop	\N	1/21/2015 0:00	30	\N	0	1	0
30	\N	1	skill_default.png	adventurous	\N	1/21/2015 0:00	31	\N	0	1	0
31	\N	1	skill_default.png	advertising and public relations	\N	1/21/2015 0:00	32	\N	0	1	0
32	\N	1	skill_default.png	advertising manager	\N	1/21/2015 0:00	33	\N	0	1	0
33	\N	1	skill_default.png	advertising specialist	\N	1/21/2015 0:00	34	\N	0	1	0
34	\N	1	skill_default.png	advising people	\N	1/21/2015 0:00	35	\N	0	1	0
35	\N	1	skill_default.png	aeronautical engineer	\N	1/21/2015 0:00	36	\N	0	1	0
36	\N	1	skill_default.png	aeroplane pilot	\N	1/21/2015 0:00	37	\N	0	1	0
37	\N	1	skill_default.png	affectionate	\N	1/21/2015 0:00	38	\N	0	1	0
38	\N	1	skill_default.png	aggressive	\N	1/21/2015 0:00	39	\N	0	1	0
39	\N	1	skill_default.png	agricultural consultant	\N	1/21/2015 0:00	40	\N	0	1	0
40	\N	1	skill_default.png	agricultural engineer	\N	42025.00069	41	\N	0	1	0
41	\N	1	skill_default.png	agricultural scientist	\N	42025.00071	42	\N	0	1	0
42	\N	1	skill_default.png	agricultural technician	\N	42025.00072	43	\N	0	1	0
43	\N	1	skill_default.png	air sports	\N	42025.00073	44	\N	0	1	0
44	\N	1	skill_default.png	air traffic controller	\N	42025.00074	45	\N	0	1	0
45	\N	1	skill_default.png	air transport professionals nec	\N	42025.00075	46	\N	0	1	0
46	\N	1	skill_default.png	airconditioning and mechanical services plumber	\N	42025.00076	47	\N	0	1	0
47	\N	1	skill_default.png	airconditioning and refrigeration mechanic	\N	42025.00078	48	\N	0	1	0
48	\N	1	skill_default.png	aircraft maintenance engineer (avionics)	\N	42025.00079	49	\N	0	1	0
49	\N	1	skill_default.png	aircraft maintenance engineer (mechanical)	\N	42025.0008	50	\N	0	1	0
50	\N	1	skill_default.png	aircraft maintenance engineer (structures)	\N	42025.00081	51	\N	0	1	0
51	\N	1	skill_default.png	aircraft spotting	\N	42025.00082	52	\N	0	1	0
52	\N	1	skill_default.png	airsoft	\N	42025.00083	53	\N	0	1	0
53	\N	1	skill_default.png	alert	\N	42025.00084	54	\N	0	1	0
54	\N	1	skill_default.png	"alert: watchful, wide awake, ready to act."	\N	42025.00086	55	\N	0	1	0
55	\N	1	skill_default.png	amateur astronomy	\N	42025.00087	56	\N	0	1	0
56	\N	1	skill_default.png	amateur geology	\N	42025.00088	57	\N	0	1	0
57	\N	1	skill_default.png	amateur radio	\N	42025.00089	58	\N	0	1	0
58	\N	1	skill_default.png	ambitious	\N	42025.0009	59	\N	0	1	0
59	\N	1	skill_default.png	"ambitious: full of ambition, strong desire to do something."	\N	42025.00091	60	\N	0	1	0
60	\N	1	skill_default.png	ambulance officer	\N	42025.00093	61	\N	0	1	0
61	\N	1	skill_default.png	american football	\N	42025.00094	62	\N	0	1	0
62	\N	1	skill_default.png	amiable: feeling and inspiring friendliness; lovable.	\N	42025.00095	63	\N	0	1	0
63	\N	1	skill_default.png	amusement centre manager	\N	42025.00096	64	\N	0	1	0
64	\N	1	skill_default.png	anaesthetist	\N	42025.00097	65	\N	0	1	0
65	\N	1	skill_default.png	analyst programmer	\N	42025.00098	66	\N	0	1	0
66	\N	1	skill_default.png	analytical skills	\N	42025.001	67	\N	0	1	0
67	\N	1	skill_default.png	analytical: employing analytic methods; separating things into their parts of elements.	\N	42025.00101	68	\N	0	1	0
68	\N	1	skill_default.png	analytics	\N	42025.00102	69	\N	0	1	0
69	\N	1	skill_default.png	analyze	\N	42025.00103	70	\N	0	1	0
70	\N	1	skill_default.png	analyze data or facts	\N	42025.00104	71	\N	0	1	0
71	\N	1	skill_default.png	"analyze data, audit and maintain records"	\N	42025.00105	72	\N	0	1	0
72	\N	1	skill_default.png	analyzing data	\N	42025.00106	73	\N	0	1	0
73	\N	1	skill_default.png	analyzing problems	\N	42025.00108	74	\N	0	1	0
74	\N	1	skill_default.png	anatomist or physiologist	\N	42025.00109	75	\N	0	1	0
75	\N	1	skill_default.png	android	\N	42025.0011	76	\N	0	1	0
76	\N	1	skill_default.png	animal attendants and trainers nec	\N	42025.00111	77	\N	0	1	0
77	\N	1	skill_default.png	animal showing	\N	42025.00112	78	\N	0	1	0
